UTC Timestamp Start,UTC Timestamp End,Channel,Title,Description,Duration (Mins),Date (Local),Time (Local)
2025-10-06T12:30:00+00:00,2025-10-06T13:00:00+00:00,Virgin Media Two,Back To Mine,Hopeful singletons hunt for a potential partner by rifling through their homes before they have even met to choose one to invite on a date.,30,2025-10-06,1.30pm - 2.00pm
2025-10-06T13:00:00+00:00,2025-10-06T14:00:00+00:00,Virgin Media Two,Yes Chef,"Actress Sheree Murphy presents the cookery competition in which top chefs work with three amateur cooks, selecting one to partner them in the weekly final.",60,2025-10-06,2.00pm - 3.00pm
2025-10-06T14:00:00+00:00,2025-10-06T15:00:00+00:00,Virgin Media Two,The Chase,"Four players answer trivia questions. Then as a team, face a quiz champion (The Chaser) to win thousands of pounds in a timed final quiz. Bradley Walsh hosts.",60,2025-10-06,3.00pm - 4.00pm
2025-10-06T15:00:00+00:00,2025-10-06T16:00:00+00:00,Virgin Media Two,Tipping Point,Hit Quiz Series hosted by Ben Shepherd which sees four contestants do battle to win big cash prizes...,60,2025-10-06,4.00pm - 5.00pm
2025-10-06T16:00:00+00:00,2025-10-06T17:00:00+00:00,Virgin Media Two,Tipping Point,Hit Quiz Series hosted by Ben Shepherd which sees four contestants do battle to win big cash prizes...,60,2025-10-06,5.00pm - 6.00pm
2025-10-06T17:00:00+00:00,2025-10-06T18:00:00+00:00,Virgin Media Two,The Chase,"Huge global hit game show The Chase is the ultimate heart-racing, high-pressure quiz.",60,2025-10-06,6.00pm - 7.00pm
2025-10-06T18:00:00+00:00,2025-10-06T19:00:00+00:00,Virgin Media Two,The Chase,"Huge global hit game show The Chase is the ultimate heart-racing, high-pressure quiz.",60,2025-10-06,7.00pm - 8.00pm
2025-10-06T19:00:00+00:00,2025-10-06T20:00:00+00:00,Virgin Media Two,Beat The Chasers,"Contestants from across the UK take on Jenny 'The Vixen' Ryan, Anne 'The Governess' Hegerty, Shaun 'The Dark Destroyer' Wallace, Mark 'The Beast' Labbett and Pa...",60,2025-10-06,8.00pm - 9.00pm
2025-10-06T20:00:00+00:00,2025-10-06T21:10:00+00:00,Virgin Media Two,Love Island Games,Famous and favourite Islanders are about to play the game of love in a whole new way.,70,2025-10-06,9.00pm - 10.10pm
2025-10-06T21:10:00+00:00,2025-10-06T22:10:00+00:00,Virgin Media Two,The Real Housewives of Dallas,"Brandi attempts to bond with her daughter, Brooklyn; Stephanie and Kameron try to work things out after their dust-up at LeeAnne's shower; the women go ghost hunting at a haunted house but find t...",60,2025-10-06,10.10pm - 11.10pm
2025-10-06T22:10:00+00:00,2025-10-06T23:10:00+00:00,Virgin Media Two,The Graham Norton Show,Graham Norton gets up close and personal with various celebrities whilst focusing on different aspects of celebrity culture that attract his attention.,60,2025-10-06,11.10pm - 12.10am
2025-10-06T22:15:00+00:00,2025-10-06T23:30:00+00:00,Virgin Media Three,Poldark,Multi award-winning series adapted from English author Winston Graham's historical novels.,75,2025-10-06,11.15pm - 12.30am
2025-10-05T23:30:00+00:00,2025-10-06T00:45:00+00:00,Virgin Media Three,Dr Blake Mysteries,Medical cases turn to murder cases in this compelling detective drama based on the hit Australian series.,75,2025-10-06,12.30am - 1.45am
2025-10-06T06:15:00+00:00,2025-10-06T07:10:00+00:00,Virgin Media Three,Heartbeat,"Len Peters arrives at Ashfordly Girls' School during Parents' Evening in a drunken state and the Headmistress asks the o]police to eject him. Len's wife, Doreen, meets with teacher, Rog...",55,2025-10-06,7.15am - 8.10am
2025-10-06T07:10:00+00:00,2025-10-06T07:40:00+00:00,Virgin Media Three,My Unique B&B,"All around the country lie unique spaces, in beautiful places: campervans; sheds, attics; caravans even horseboxes!  They are unloved and unused... until now!",30,2025-10-06,8.10am - 8.40am
2025-10-06T07:40:00+00:00,2025-10-06T08:45:00+00:00,Virgin Media Three,Wycliffe,Detective Superintendent Wycliffe heads an investigating team of officers brought in to solve the most intriguing of murder cases and uncovers a web of deceit and lies.,65,2025-10-06,8.40am - 9.45am
2025-10-06T08:45:00+00:00,2025-10-06T09:45:00+00:00,Virgin Media Three,Storage Hoarders,It's time to say goodbye to the things with no value and turn forgotten collectibles into hard cash.,60,2025-10-06,9.45am - 10.45am
2025-10-06T09:45:00+00:00,2025-10-06T11:25:00+00:00,Virgin Media Three,Kavanagh QC,"In Sunderland a young former car thief is run over by a local vigilante, leaving him brain damaged. His mother asks Kavanagh to to take on the case despite lack of sufficient evidence.",100,2025-10-06,10.45am - 12.25pm
2025-10-06T11:25:00+00:00,2025-10-06T12:25:00+00:00,Virgin Media Three,Judge Rinder Crime Stories,"Judge Rinder rules the courtroom in his own hit series, but now the respected barrister with a background in criminal defence is stepping out from behind the bench to take on real-life cases. (HD)",60,2025-10-06,12.25pm - 1.25pm
2025-10-06T12:25:00+00:00,2025-10-06T13:25:00+00:00,Virgin Media Three,Heartbeat,"Lord Ashfordly is under investigation for child labour following a shooting accident at the Hall. Bellamy soon discovers that the new estate manager is not all he seems, and uncovers a bitter love tri...",60,2025-10-06,1.25pm - 2.25pm
2025-10-06T13:25:00+00:00,2025-10-06T14:25:00+00:00,Virgin Media Three,The Deal Makers,"The show follows the biggest characters from the world of pawn broking as they uncover the stories behind, and the prospective value of, the most amazing objects being bought, sold and loaned against....",60,2025-10-06,2.25pm - 3.25pm
2025-10-06T14:25:00+00:00,2025-10-06T14:55:00+00:00,Virgin Media Three,Emmerdale,April’s life is in tatters. Will Gabby and Vinny’s relationship survive? Charity hides her guilt.,30,2025-10-06,3.25pm - 3.55pm
2025-10-06T14:55:00+00:00,2025-10-06T15:25:00+00:00,Virgin Media Three,Coronation Street,"Todd frets over Theo’s disappearance, Bethany makes a surprise return to Weatherfield, Christina learns Glenda’s opinion of her, and Carla confides her doubts about Becky’s story to ...",30,2025-10-06,3.55pm - 4.25pm
2025-10-06T15:25:00+00:00,2025-10-06T15:55:00+00:00,Virgin Media Three,Coronation Street,"Todd frets over Theo’s disappearance, Bethany makes a surprise return to Weatherfield, Christina learns Glenda’s opinion of her, and Carla confides her doubts about Becky’s story to ...",30,2025-10-06,4.25pm - 4.55pm
2025-10-06T15:55:00+00:00,2025-10-06T16:55:00+00:00,Virgin Media Three,The Royal,An epidemic is feared when a child contracts whooping cough.  Mr. Rose takes matters into his own hands - and feet.  Middleditch's act of kindness spells trouble for Ormerod and Weatherill.  And ...,60,2025-10-06,4.55pm - 5.55pm
2025-10-06T16:55:00+00:00,2025-10-06T18:55:00+00:00,Virgin Media Three,Murder In Provence,"With its pale Provençal stone, faded grey shutters and cafés spilling onto pavements, serving glasses of rosé as temperatures rise, Aix-en- Provence presents a blissful scene. But...",120,2025-10-06,5.55pm - 7.55pm
2025-10-06T18:55:00+00:00,2025-10-06T20:00:00+00:00,Virgin Media Three,Heartbeat,"Members of the local constabulary patrol the town of Ashfordly and the nearby village of Aidensfield in the North Riding of Yorkshire, keeping the peace whilst also dealing with local loveable rogues ...",65,2025-10-06,7.55pm - 9.00pm
2025-10-06T20:00:00+00:00,2025-10-06T21:10:00+00:00,Virgin Media Three,Poldark,Multi award-winning series adapted from English author Winston Graham's historical novels.,70,2025-10-06,9.00pm - 10.10pm
2025-10-06T21:10:00+00:00,2025-10-06T21:40:00+00:00,Virgin Media Three,Coronation Street,"Asha resorts to extreme measures to escape her mental struggles, Tim picks up a former girlfriend in his cab, and Todd berates Theo for doing a disappearing act.",30,2025-10-06,10.10pm - 10.40pm
2025-10-06T21:40:00+00:00,2025-10-06T22:15:00+00:00,Virgin Media Three,Coronation Street,"Asha resorts to extreme measures to escape her mental struggles, Tim picks up a former girlfriend in his cab, and Todd berates Theo for doing a disappearing act.",35,2025-10-06,10.40pm - 11.15pm
2025-10-06T22:15:00+00:00,2025-10-06T22:45:00+00:00,Virgin Media Three,Emmerdale,Charity covertly chases up her paternity test results. Chas is stunned to hear Charity’s situation. April leaves home.,30,2025-10-06,11.15pm - 11.45pm
2025-10-06T22:45:00+00:00,2025-10-07T00:15:00+00:00,Virgin Media Three,Bodyguard,"War veteran David Budd finds work as a police sergeant with London's Metropolitan Police Service, in the Royalty and Specialist Protection branch. (HD)",90,2025-10-06,11.45pm - 1.15am
2025-10-05T23:00:00+00:00,2025-10-06T00:25:00+00:00,Virgin Media Four,Love Island Games,Famous and favourite Islanders are about to play the game of love in a whole new way.,85,2025-10-06,12.00am - 1.25am
2025-10-06T00:25:00+00:00,2025-10-06T01:26:00+00:00,Virgin Media Four,Blue Murder,Manchester homicide cop Janine Lewis struggles to balance her professional life as the newly promoted detective chief inspector with her personal life as a single mother.,61,2025-10-06,1.25am - 2.26am
2025-10-06T06:00:00+00:00,2025-10-06T06:55:00+00:00,Virgin Media Four,Ireland v England,"Ireland welcome England to Cork in this year's Championship, Scott Bemand's side will be looking to cause an upset against the tournament favourites.",55,2025-10-06,7.00am - 7.55am
2025-10-06T06:55:00+00:00,2025-10-06T07:50:00+00:00,Virgin Media Four,Best of Guinness Six Nations 2025: Ireland v England,"Ireland begin their Six Nations campaign in Dublin, without Andy Farrell. England are the visitors in a tough start for Simon Easterby.",55,2025-10-06,7.55am - 8.50am
2025-10-06T07:50:00+00:00,2025-10-06T08:50:00+00:00,Virgin Media Four,Loose Women,"Loose Women as they chat about news, issues and life in general.",60,2025-10-06,8.50am - 9.50am
2025-10-06T08:50:00+00:00,2025-10-06T10:50:00+00:00,Virgin Media Four,Vera,"A woman is brutally murdered in a hedgerow. Her son escapes the violent attack, only to fall through the ice of a frozen pond, where Vera finds him many minutes later.  She wades in and pulls him out ...",120,2025-10-06,9.50am - 11.50am
2025-10-06T10:50:00+00:00,2025-10-06T11:50:00+00:00,Virgin Media Four,The Cube,"The Cube which tests contestants' ability, nerve and determination to win.",60,2025-10-06,11.50am - 12.50pm
2025-10-06T11:50:00+00:00,2025-10-06T12:50:00+00:00,Virgin Media Four,John & Lisa's Weekend Kitchen,"John Torode and Lisa Faulkner invite us into their kitchen for a morning of feel good food. Brimming with recipes, shortcuts, inspiration and tips from top chef John and champion cook Lisa, everyone i...",60,2025-10-06,12.50pm - 1.50pm
2025-10-06T12:50:00+00:00,2025-10-06T13:45:00+00:00,Virgin Media Four,The Six O'Clock Show,"A lively mix of celebrity chat with national and international guests, fabulous food from the country’s top Chefs, expert advice and all the unmissable stories making the headlines.",55,2025-10-06,1.50pm - 2.45pm
2025-10-06T13:45:00+00:00,2025-10-06T14:45:00+00:00,Virgin Media Four,Animal Emergency,"The UCD Veterinary Hospital, based in Dublin, is a unique environment that prides itself on its speciality services, delivered with modern equipment and cutting-edge technology, serving the veterinary...",60,2025-10-06,2.45pm - 3.45pm
2025-10-06T14:45:00+00:00,2025-10-06T16:00:00+00:00,Virgin Media Four,Hospital,"Packed with real-life drama, Hospital reveals the extraordinary dilemmas faced by NHS staff, all of which have profound consequences for those in their care.",75,2025-10-06,3.45pm - 5.00pm
2025-10-06T16:00:00+00:00,2025-10-06T17:00:00+00:00,Virgin Media Four,63 Up,"The late director Michael Apted catches up with a group of Britons whose lives have been chronicled on film since the age of seven. Here he is reunited with East Ender Tony, who originally dreamed of ...",60,2025-10-06,5.00pm - 6.00pm
2025-10-06T17:00:00+00:00,2025-10-06T18:00:00+00:00,Virgin Media Four,The Deal Makers,"The show follows the biggest characters from the world of pawn broking as they uncover the stories behind, and the prospective value of, the most amazing objects being bought, sold and loaned against....",60,2025-10-06,6.00pm - 7.00pm
2025-10-06T18:00:00+00:00,2025-10-06T19:00:00+00:00,Virgin Media Four,Guess This House,"Home is where the heart is, but in this show, it’s all about the money. Four couples, who think they know the property market, snoop around a home and guess its worth.",60,2025-10-06,7.00pm - 8.00pm
2025-10-06T19:00:00+00:00,2025-10-06T20:00:00+00:00,Virgin Media Four,Storage Hoarders,It's time to say goodbye to the things with no value and turn forgotten collectibles into hard cash.,60,2025-10-06,8.00pm - 9.00pm
2025-10-06T20:00:00+00:00,2025-10-06T21:00:00+00:00,Virgin Media Four,The Cube,"The Cube which tests contestants' ability, nerve and determination to win.",60,2025-10-06,9.00pm - 10.00pm
2025-10-06T21:00:00+00:00,2025-10-06T22:00:00+00:00,Virgin Media Four,The Chase,"Huge global hit game show The Chase is the ultimate heart-racing, high-pressure quiz.",60,2025-10-06,10.00pm - 11.00pm
2025-10-06T22:00:00+00:00,2025-10-06T22:25:00+00:00,Virgin Media Four,Judge Judy,"Presided over by outspoken Judge Judith Sheindlin; with her no-nonsense, decisive approach to justice; she has established herself as a pop-culture icon for generations of viewers.",25,2025-10-06,11.00pm - 11.25pm
2025-10-06T22:25:00+00:00,2025-10-06T22:55:00+00:00,Virgin Media Four,Judge Judy,"Presided over by outspoken Judge Judith Sheindlin; with her no-nonsense, decisive approach to justice; she has established herself as a pop-culture icon for generations of viewers.",30,2025-10-06,11.25pm - 11.55pm
2025-10-06T22:55:00+00:00,2025-10-07T00:15:00+00:00,Virgin Media Four,Love Island Games,Famous and favourite Islanders are about to play the game of love in a whole new way.,80,2025-10-06,11.55pm - 1.15am
2025-10-06T22:35:00+00:00,2025-10-06T23:25:00+00:00,Virgin Media More,Crash Scene Investigates,"Features the horrific crash in Cork in 2009 when two couples were heading to the airport.  A drunk driver collided with the foursome.  Both men in the car were killed, both women suffer the consequenc...",50,2025-10-06,11.35pm - 12.25am
2025-10-05T23:25:00+00:00,2025-10-06T00:20:00+00:00,Virgin Media More,UCL Defining Moment,Celebrating 65-years of European Cup & UEFA Champions League football. Using a combination of UEFA’s vast back-catalogue of archive footage and interviews with coaches and players this serie...,55,2025-10-06,12.25am - 1.20am
2025-10-06T00:20:00+00:00,2025-10-06T01:08:00+00:00,Virgin Media More,Sport Stories: Joe Brolly,"From blowing kisses to being knocked out cold, Derry legend Joe Brolly journeys through a colourful career in this wildly entertaining chat about his football years past and present and the place GAA ...",48,2025-10-06,1.20am - 2.08am
2025-10-06T12:00:00+00:00,2025-10-06T13:05:00+00:00,Virgin Media More,UCL Defining Moment,Celebrating 65-years of European Cup & UEFA Champions League football. Using a combination of UEFA’s vast back-catalogue of archive footage and interviews with coaches and players this serie...,65,2025-10-06,1.00pm - 2.05pm
2025-10-06T13:05:00+00:00,2025-10-06T13:50:00+00:00,Virgin Media More,CL Finals Weekend Liverpool v Tottenham 2019,The 2019 Champions League final which saw the Premier League pairing of Liverpool and Tottenham with the Red’s claiming their sixth European Cup title.,45,2025-10-06,2.05pm - 2.50pm
2025-10-06T13:50:00+00:00,2025-10-06T15:45:00+00:00,Virgin Media More,UEFA Champions League,Manchester City visit Monaco in a glamour tie packed with attacking talent and Champions League pedigree.,115,2025-10-06,2.50pm - 4.45pm
2025-10-06T15:45:00+00:00,2025-10-06T16:15:00+00:00,Virgin Media More,Ronaldo: Real Madrid v Juventus 2017,Some the most classic and most memorable matches from Europe's premier club competition.,30,2025-10-06,4.45pm - 5.15pm
2025-10-06T16:15:00+00:00,2025-10-06T17:05:00+00:00,Virgin Media More,Best of u20's Six Nations 2025: Ireland v France,Ireland go head to head against a formidable France side at Virgin Media Park in Round 4 of the U20 6 Nations.,50,2025-10-06,5.15pm - 6.05pm
2025-10-06T17:05:00+00:00,2025-10-06T19:00:00+00:00,Virgin Media More,UEFA Champions League,Azerbaijan’s Qarabag face Danish champions Copenhagen in a crucial Group Stage encounter.,115,2025-10-06,6.05pm - 8.00pm
2025-10-06T19:00:00+00:00,2025-10-06T19:30:00+00:00,Virgin Media More,Messi: Barcelona v Man. United 2019,Some the most classic and most memorable matches from Europe's premier club competition.,30,2025-10-06,8.00pm - 8.30pm
2025-10-06T19:30:00+00:00,2025-10-06T20:00:00+00:00,Virgin Media More,Golf's Greatest Holes,"Ryder Cup captain Paul McGinley and TV's Chris Hollins takes viewers on a dream journey across Ireland, playing the courses they have always wanted to play.",30,2025-10-06,8.30pm - 9.00pm
2025-10-06T20:00:00+00:00,2025-10-06T20:50:00+00:00,Virgin Media More,You and Me,Emma and Ben must weigh up what it would take to put their pasts to rest.,50,2025-10-06,9.00pm - 9.50pm
2025-10-06T20:50:00+00:00,2025-10-06T22:25:00+00:00,Virgin Media More,McDonald and Dodds,"It's wedding season in Bath, but a string of suspicious deaths is affecting the celebrations throughout the city. Is there a serial killer on the loose who goes after weddings? It's a case t...",95,2025-10-06,9.50pm - 11.25pm
2025-10-06T22:25:00+00:00,2025-10-06T23:20:00+00:00,Virgin Media More,UCL Defining Moment,Celebrating 65-years of European Cup & UEFA Champions League football. Using a combination of UEFA’s vast back-catalogue of archive footage and interviews with coaches and players this serie...,55,2025-10-06,11.25pm - 12.20am
2025-10-07T22:55:00+00:00,2025-10-07T23:55:00+00:00,Virgin Media One,Ana Kriegel: A Young Life Lost,In May 2018 Ana Kriegel was lured from her home and brutally killed in a derelict house in Lucan. The awful crime was all the more disturbing when her killer were revealed to be two 13 - year old boys...,60,2025-10-07,11.55pm - 12.55am
2025-10-06T23:55:00+00:00,2025-10-07T01:11:00+00:00,Virgin Media One,World on Fire,"From multi-award-winning writer Peter Bowker, this heart-stopping drama tells the story of World War Two through the lives of ordinary people from all sides of this global conflict. Featuring a stella...",76,2025-10-07,12.55am - 2.11am
2025-10-07T04:25:00+00:00,2025-10-07T05:15:00+00:00,Virgin Media One,The Tonight Show,Comment and analysis on the big stories of the day in Ireland and abroad with a panel of guests covering the key issues.,50,2025-10-07,5.25am - 6.15am
2025-10-07T05:15:00+00:00,2025-10-07T06:00:00+00:00,Virgin Media One,The Six O'Clock Show,"A lively mix of celebrity chat with national and international guests, fabulous food from the country’s top Chefs, expert advice and all the unmissable stories making the headlines.",45,2025-10-07,6.15am - 7.00am
2025-10-07T06:00:00+00:00,2025-10-07T09:00:00+00:00,Virgin Media One,Ireland AM,"Ireland AM is the longest running daytime show in Ireland. Blending a mixture of lifestyle interviews and news content, with gardening, health, food and fashion seven days a week.",180,2025-10-07,7.00am - 10.00am
2025-10-07T09:00:00+00:00,2025-10-07T11:30:00+00:00,Virgin Media One,This Morning,"A mix of celebrity interviews, entertainment news, current affairs discussions, a look at sports competitions, health columns, cooking tips and tricks, and more.",150,2025-10-07,10.00am - 12.30pm
2025-10-07T11:30:00+00:00,2025-10-07T12:00:00+00:00,Virgin Media One,News at 12:30,"The latest national and international news stories from the Virgin Media News team, followed by sport and weather.",30,2025-10-07,12.30pm - 1.00pm
2025-10-07T12:00:00+00:00,2025-10-07T14:00:00+00:00,Virgin Media One,Virgin Media News Budget Special,Comprehensive coverage and analysis of Budget 2026.,120,2025-10-07,1.00pm - 3.00pm
2025-10-07T14:00:00+00:00,2025-10-07T15:00:00+00:00,Virgin Media One,Loose Women,"Loose Women as they chat about news, issues and life in general.",60,2025-10-07,3.00pm - 4.00pm
2025-10-07T15:00:00+00:00,2025-10-07T15:30:00+00:00,Virgin Media One,Bradley Walsh & Son: Breaking Dad,"The actor and his 20-year-old son Barney hit the road together, travelling more than 2,000 miles from Los Angeles in the west to New Orleans in the south.",30,2025-10-07,4.00pm - 4.30pm
2025-10-07T15:30:00+00:00,2025-10-07T16:00:00+00:00,Virgin Media One,Judge Judy,"Presided over by outspoken Judge Judith Sheindlin; with her no-nonsense, decisive approach to justice; she has established herself as a pop-culture icon for generations of viewers.",30,2025-10-07,4.30pm - 5.00pm
